,AAPL,MSFT,GOOGL,AMZN,TSLA,SPY,QQQ,VTI,BTC-USD,ETH-USD
AAPL,0.00037301897457899007,0.00025803052995325486,0.00024309416544602305,0.00025271544478946316,0.0003532534022855221,0.00018605524428280814,0.00024615012461579077,0.00018698954796502788,0.00018175688437128702,0.00023865570712211422
MSFT,0.00025803052995325486,0.0004767876193033764,0.0004094965563700817,0.00041985166427282387,0.00046248035708484366,0.0003218379746028754,0.0003904632205610031,0.0003303161681665398,0.0001944302495681151,0.0002551345664192881
GOOGL,0.00024309416544602305,0.0004094965563700817,0.0005223476451738111,0.0004220770684770131,0.0004449975915082097,0.0003156646007939666,0.0003832272511960011,0.0003247266136748742,0.00018369680997232474,0.00025202001547292843
AMZN,0.00025271544478946316,0.00041985166427282387,0.0004220770684770131,0.0006155523718931533,0.0005040273518186214,0.00031424137681564844,0.000404085352392365,0.0003238927382005512,0.00020125685984550667,0.00025606508422519565
TSLA,0.0003532534022855221,0.00046248035708484366,0.0004449975915082097,0.0005040273518186214,0.0017531617568503596,0.0003767695256736875,0.0004901351715378571,0.0003968597058876659,0.0003395707262784282,0.00039645146988170194
SPY,0.00018605524428280814,0.0003218379746028754,0.0003156646007939666,0.00031424137681564844,0.0003767695256736875,0.0002810898665252338,0.00031195054660511563,0.0002910558886802187,0.00015156599569340302,0.00019911474208360566
QQQ,0.00024615012461579077,0.0003904632205610031,0.0003832272511960011,0.000404085352392365,0.0004901351715378571,0.00031195054660511563,0.0003771107791270474,0.00032248242669651934,0.00019026538542844728,0.0002479449667942451
VTI,0.00018698954796502788,0.0003303161681665398,0.0003247266136748742,0.0003238927382005512,0.0003968597058876659,0.0002910558886802187,0.00032248242669651934,0.00030276935247119973,0.00015879995019933956,0.0002077007788786952
BTC-USD,0.00018175688437128702,0.0001944302495681151,0.00018369680997232474,0.00020125685984550667,0.0003395707262784282,0.00015156599569340302,0.00019026538542844728,0.00015879995019933956,0.0013358626073582246,0.0012219045332534369
ETH-USD,0.00023865570712211422,0.0002551345664192881,0.00025202001547292843,0.00025606508422519565,0.00039645146988170194,0.00019911474208360566,0.0002479449667942451,0.0002077007788786952,0.0012219045332534369,0.002129347307475526
